phase,check_id,check,required,evidence_artifact,status
R0,R0-01,Original ZIPs copied to immutable input directory,true,input_sha256s.txt,
R0,R0-02,ZIP CRC and archive path safety pass,true,package_integrity_baseline.json,
R1,R1-01,Canonical ID inventory complete,true,inventory_baseline.json,
R1,R1-02,Repair scope decision recorded,true,repair_scope_decision.json,
R2,R2-01,High-template pages identified,true,semantic_template_audit_before.csv,
R2,R2-02,Semantic rewrite preserves IDs and relations,true,semantic_identity_diff.json,
R2,R2-03,Post-repair duplicate gates pass,true,semantic_template_metrics.json,
R3,R3-01,Atomic binding registry complete,true,claim_evidence_binding_registry.csv,
R3,R3-02,No fabricated locators,true,evidence_fabrication_check.json,
R3,R3-03,Residual gaps preserved,true,residual_claim_gaps.csv,
R4,R4-01,Source notes include contribution and limitation sections,true,source_note_audit.json,
R5,R5-01,Benchmark frozen before runner,true,frozen_benchmark_manifest.json,
R5,R5-02,Title and alias leakage zero,true,retrieval_leakage_audit.json,
R5,R5-03,Runner does not score with expected or negative IDs,true,runner_policy_receipt.json,
R5,R5-04,Holdout contamination status clean,true,holdout_contamination_receipt.json,
R6,R6-01,All derived bundles rebuilt from repaired canonical KOS,true,release_plan.json,
R6,R6-02,Release ID version lifecycle consistent,true,release_metadata_audit.json,
R6,R6-03,R2 plan is dry-run only,true,r2_dry_run_validation.json,
R7,R7-01,Audit opens final ZIPs and reruns validators,true,final_audit_report.json,
R7,R7-02,P0 and P1 counts are zero,true,findings_register.json,
R8,R8-01,Handoff contains five bundles and SHA256,true,bundle_index.json,
R8,R8-02,Live production and R2 pointers unchanged,true,prohibitions_confirmed.json,
